CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600029,Fontaine,772,Spain,Female,47,6,0.0,3,0,1,30388.11,1
15600030,Osei,608,Spain,Female,38,9,130042.13,2,1,1,119000.49,0
15600031,Adeyemi,718,Germany,Female,38,4,0.0,2,0,1,160046.54,0
15600032,Reyes,629,France,Female,39,7,0.0,2,1,0,84083.05,1
15600033,Novak,694,France,Male,18,7,117212.76,1,1,0,146692.88,0
15600034,Kessler,804,France,Female,23,3,112085.53,4,1,1,86833.51,1
15600035,Mendez,638,France,Female,35,8,172911.51,2,1,1,37242.29,0
15600036,Rousseau,746,France,Female,30,5,98281.85,1,1,1,1000.0,1
15600037,Hargrove,676,France,Female,36,6,140983.49,2,1,1,68051.4,0
15600038,Lindqvist,575,France,Male,53,2,0.0,2,1,0,81847.38,0
15600039,Kessler,636,Spain,Male,38,3,36086.67,2,1,1,200000.0,0
15600040,Fairweather,630,France,Male,25,9,82059.8,1,1,1,102629.34,0
15600041,Weiss,514,Germany,Male,30,6,96316.01,2,0,1,67578.72,0
15600042,Castellano,694,Spain,Female,56,1,0.0,1,0,0,130530.13,1
15600043,Lindqvist,713,France,Female,54,5,57127.4,2,1,1,77589.56,1
15600044,Duarte,728,Germany,Male,45,6,187348.04,2,0,0,159404.63,0
15600045,Kessler,787,Germany,Male,23,8,0.0,2,0,1,188677.07,0
15600046,Castellano,742,France,Female,42,9,107593.46,2,0,1,109276.45,0
15600047,Okonkwo,592,France,Male,42,7,112581.51,4,0,0,1000.0,1
15600048,Delacroix,613,Spain,Female,39,0,126962.6,1,1,1,94224.46,0
15600049,Sorensen,731,France,Female,33,5,134539.35,1,0,1,90713.24,0
15600050,Girard,687,France,Male,35,2,225104.14,2,1,1,194099.39,0
15600051,Adeyemi,648,France,Male,32,0,81868.26,2,0,1,125684.94,0
15600052,Okonkwo,566,Germany,Female,27,10,127636.89,2,1,1,77504.14,1
15600053,Adeyemi,599,Spain,Male,52,1,0.0,4,1,0,180391.54,0
15600054,Mendez,706,Spain,Female,47,2,161145.81,1,1,1,93216.27,0
15600055,Mendez,463,Germany,Male,36,3,134443.68,2,1,0,92668.54,1
15600056,Sorensen,425,France,Male,42,5,0.0,1,0,0,71226.38,0
15600057,Okafor,717,Spain,Male,42,6,0.0,2,1,0,166704.03,0
15600058,Dubois,599,France,Female,62,3,0.0,1,0,0,69116.84,0
15600059,Dubois,695,France,Female,47,8,0.0,1,1,0,137364.19,0
15600060,Petrov,801,Spain,Female,47,1,89641.0,3,1,0,123034.33,1
15600061,Bergstrom,553,France,Male,39,10,0.0,2,1,0,103938.73,0
15600062,Aoki,490,Spain,Female,34,9,86090.86,2,1,0,152469.98,1
15600063,Osei,623,Germany,Male,53,6,91450.36,2,1,1,188639.5,0
15600064,Winters,584,Spain,Female,45,0,92322.88,1,1,1,29189.07,0
15600065,Okafor,648,Spain,Female,30,8,97287.69,1,0,0,90633.27,0
15600066,Mendez,702,Spain,Male,43,7,65597.54,1,1,1,85999.18,0
15600067,Okonkwo,681,France,Female,47,6,113851.52,2,1,0,106119.95,1
15600068,Mendez,654,France,Male,18,3,66905.73,2,1,1,66671.77,0
15600069,Fairweather,752,France,Male,29,4,0.0,1,1,0,40900.93,0
15600070,Renner,714,France,Male,42,4,109490.58,1,0,0,93771.7,0
15600071,Fairweather,633,France,Female,19,6,3000.0,2,1,1,158486.01,0
15600072,Okafor,711,Germany,Male,20,3,236577.8,1,1,0,88370.22,0
15600073,Sorensen,502,France,Female,36,4,0.0,1,0,0,123897.02,1
15600074,Duarte,752,France,Male,44,9,127991.65,1,0,0,188037.69,1
15600075,Hallgren,652,France,Female,44,4,85908.0,1,1,1,109559.45,0
15600076,Mendez,535,France,Female,55,6,116698.58,2,1,1,156943.84,0
15600077,Marceau,610,Spain,Male,39,10,0.0,1,0,1,162288.89,0
15600078,Abubakar,750,Spain,Female,35,10,136511.38,2,0,1,171387.35,0
15600079,Lindqvist,576,Germany,Female,25,6,0.0,1,1,1,200000.0,0
15600080,Okonkwo,689,Spain,Male,35,2,48555.56,1,1,1,92674.15,0
15600081,Laurent,734,France,Male,46,1,0.0,2,1,1,152511.83,0
15600082,Renner,652,Germany,Male,46,9,187495.2,1,1,1,112501.09,0
15600083,Okafor,567,France,Female,41,5,56906.54,2,1,0,128669.26,0
15600084,Castellano,644,France,Female,44,6,0.0,1,1,0,123653.46,1
15600085,Lindqvist,515,France,Female,52,10,0.0,1,1,1,168647.98,0
15600086,Winters,603,Spain,Female,39,4,113240.44,1,1,1,70828.51,0
15600087,Nakamura,544,France,Female,52,1,198758.82,2,1,1,122594.92,0
15600088,Iyer,645,France,Male,31,7,137012.64,1,1,0,26914.92,1
15600089,Fairweather,528,Spain,Male,38,10,8345.6,4,1,1,54143.49,0
15600090,Bergstrom,658,France,Female,34,1,114175.46,2,0,0,66828.12,0
15600091,Sorensen,759,Spain,Male,47,10,0.0,2,0,1,134043.16,0
15600092,Adeyemi,765,France,Male,28,5,0.0,2,0,0,124106.49,0
15600093,Whitfield,530,France,Female,35,6,0.0,4,1,1,180509.07,1
15600094,Falk,586,France,Female,20,10,39993.69,1,1,1,156754.45,0
15600095,Girard,732,Spain,Female,45,3,105183.16,1,1,1,99121.11,0
15600096,Fontaine,718,France,Male,51,8,0.0,2,1,1,200000.0,0
15600097,Bergstrom,591,France,Female,48,0,3989.33,1,0,1,110875.86,0
15600098,Marceau,603,France,Male,47,7,0.0,2,1,0,19571.37,0
15600099,Marchetti,658,Germany,Male,47,0,0.0,2,1,0,27241.49,1
15600100,Delacroix,474,Germany,Female,46,0,0.0,4,1,1,140103.52,1
15600101,Schmitt,700,Spain,Female,45,4,0.0,2,1,0,10119.69,0
15600102,Sorensen,754,France,Female,45,4,0.0,1,1,1,110472.08,0
15600103,Falk,613,Germany,Female,32,8,36936.45,2,1,1,80733.25,0
15600104,Mendez,514,Germany,Female,36,9,0.0,2,0,1,200000.0,0
15600105,Castellano,786,Spain,Male,39,10,111069.17,1,1,1,32881.9,0
15600106,Mendez,671,France,Male,35,6,172761.08,2,1,0,157227.08,0
15600107,Petrov,718,France,Female,23,1,0.0,3,0,0,79970.63,0
15600108,Mendez,523,France,Female,26,7,105390.06,2,1,1,74719.11,0
15600109,Marchetti,524,Germany,Male,41,5,100179.73,1,0,0,187609.67,1
15600110,Falk,690,France,Male,48,5,0.0,2,1,1,70361.18,1
15600111,Girard,749,France,Male,39,5,0.0,1,1,0,48298.47,0
15600112,Rousseau,542,France,Male,67,9,107781.28,2,0,1,72986.29,0
15600113,Nakamura,640,Spain,Female,29,4,0.0,1,0,0,42002.21,1
15600114,Balogh,498,France,Male,43,10,0.0,2,0,1,11987.25,0
15600115,Marceau,583,Germany,Male,52,5,78182.81,1,1,1,55107.1,0
15600116,Kowalski,625,Germany,Female,49,7,0.0,1,0,0,7348.95,1
15600117,Dubois,697,Spain,Male,45,10,24999.86,1,1,1,50328.44,0
15600118,Adeyemi,448,France,Male,49,8,75660.9,2,1,1,48881.4,0
15600119,Iyer,777,Spain,Male,39,4,171061.45,3,1,0,114307.59,1
15600120,Weiss,634,Spain,Male,55,2,0.0,1,0,0,25636.57,1
15600121,Kessler,774,Spain,Male,52,1,56200.78,2,1,0,134160.66,0
15600122,Marchetti,717,France,Male,30,4,104092.02,2,1,0,1000.0,0
15600123,Fairweather,732,France,Male,42,7,118576.49,2,1,1,46588.29,0
15600124,Novak,844,France,Male,23,8,75753.52,2,1,0,87624.83,1
15600125,Fontaine,575,France,Male,54,0,177434.29,3,0,1,76752.68,1
15600126,Hargrove,663,France,Male,41,5,150101.45,2,1,1,103191.57,0
15600127,Lindqvist,555,France,Female,52,10,130042.93,1,1,0,22615.4,1
15600128,Sorensen,640,France,Male,37,9,115425.68,1,0,1,200000.0,0
15600129,Kessler,719,Spain,Male,20,10,0.0,1,1,0,193131.92,1
15600130,Marceau,758,France,Female,65,10,0.0,2,0,1,1000.0,0
15600131,Fairweather,613,Germany,Male,40,1,141025.68,1,1,1,134637.74,0
15600132,Rousseau,534,Spain,Male,28,7,132462.99,2,1,1,79669.05,0
15600133,Hallgren,657,France,Female,50,6,75102.44,2,0,0,92817.07,0
15600134,Nakamura,568,Spain,Female,59,5,79439.32,2,1,1,94017.2,0
15600135,Rousseau,595,France,Male,36,8,136727.7,2,1,1,53990.12,0
15600136,Novak,714,Germany,Female,37,10,0.0,1,1,0,93150.33,1
15600137,Winters,697,France,Female,41,5,198242.09,3,0,1,187547.07,0
15600138,Kowalski,730,Germany,Male,27,7,0.0,1,0,0,200000.0,0
15600139,Sorensen,618,France,Male,31,5,104056.2,1,1,0,92945.21,0
15600140,Okafor,747,France,Male,57,6,7283.38,3,1,0,6293.38,1
15600141,Reyes,651,France,Female,37,10,3000.0,2,1,1,84976.15,0
15600142,Bergstrom,623,Germany,Male,30,8,0.0,1,1,0,81850.06,0
15600143,Rousseau,545,Spain,Male,34,2,69334.84,2,1,0,182300.11,1
15600144,Duarte,449,France,Male,49,9,13338.61,2,1,1,30223.25,0
15600145,Marchetti,500,France,Female,18,5,0.0,2,1,0,1000.0,0
15600146,Duarte,671,France,Male,41,6,129141.26,2,1,0,58849.9,0
15600147,Novak,563,Spain,Male,64,1,0.0,1,1,1,137207.43,0
15600148,Novak,492,France,Male,59,4,0.0,2,0,0,45280.22,1
15600149,Whitfield,610,France,Female,44,3,173820.96,3,0,1,84751.02,0
15600150,Reyes,677,Germany,Male,52,0,77215.06,1,1,1,141956.01,0
15600151,Fontaine,690,Germany,Female,52,9,125745.49,2,1,1,10366.32,0
15600152,Falk,647,France,Male,37,1,113881.37,1,1,1,92794.79,0
15600153,Sorensen,644,Spain,Male,48,7,0.0,1,0,1,112706.79,0
15600154,Iyer,598,France,Male,57,8,65153.08,2,0,0,135869.88,1
15600155,Fontaine,711,Spain,Male,26,6,110784.13,2,0,0,74973.86,0
15600156,Fontaine,633,France,Male,44,9,125468.47,2,1,0,187355.53,1
15600157,Osei,643,Spain,Female,42,1,102034.2,2,0,1,70570.95,0
15600158,Odom,750,Spain,Male,40,0,0.0,2,1,0,145286.58,0
15600159,Sorensen,726,Germany,Female,39,9,167090.84,1,1,1,163423.41,0
15600160,Balogh,632,France,Male,41,2,0.0,1,0,0,1000.0,0
15600161,Kessler,619,Germany,Female,42,3,0.0,1,0,1,187431.74,0
15600162,Okonkwo,618,France,Male,50,7,101479.43,1,1,1,36263.8,0
15600163,Balogh,456,France,Male,43,5,183227.13,2,1,1,73682.66,0
15600164,Falk,755,Spain,Male,37,2,0.0,2,1,0,161648.86,0
15600165,Lindqvist,584,France,Female,30,2,0.0,1,1,0,73786.73,0
15600166,Renner,732,Germany,Female,34,9,85417.73,1,1,1,93949.55,1
15600167,Bergstrom,654,Germany,Female,41,5,217589.29,2,1,1,152036.78,0
15600168,Fontaine,784,France,Female,31,10,133763.93,1,1,0,108554.94,0
15600169,Renner,701,Germany,Male,48,6,154512.42,1,0,0,40993.26,1
15600170,Renner,738,France,Male,43,7,0.0,3,0,1,167434.8,0
15600171,Novak,593,Spain,Male,50,3,146035.9,2,1,0,118714.19,1
15600172,Renner,527,France,Female,32,0,146015.54,1,0,0,8968.47,1
15600173,Balogh,664,Germany,Male,30,5,104879.26,1,1,1,92064.11,1
15600174,Falk,466,France,Male,50,8,0.0,1,1,1,118220.57,0
15600175,Laurent,605,France,Female,40,4,3000.0,4,1,1,75830.22,0
15600176,Falk,536,France,Male,36,9,0.0,2,1,0,5113.46,0
15600177,Petrov,569,Germany,Female,46,7,0.0,2,1,0,19252.34,1
15600178,Lindqvist,707,Germany,Male,45,5,137094.65,1,1,1,60341.5,0
15600179,Kowalski,701,Spain,Female,26,5,0.0,1,1,0,119534.96,0
15600180,Okonkwo,634,Germany,Female,53,2,0.0,3,0,1,165683.19,0
15600181,Dubois,681,Germany,Female,34,9,0.0,1,0,1,18029.84,0
15600182,Nakamura,598,Spain,Male,56,0,155576.15,1,0,0,65254.3,0
15600183,Balogh,850,France,Male,25,0,169577.36,1,1,0,1000.0,0
15600184,Balogh,679,Germany,Male,42,8,148993.12,2,1,1,96656.26,0
15600185,Hargrove,593,Spain,Male,37,0,104348.01,1,1,0,185427.94,1
15600186,Kowalski,734,France,Female,18,5,0.0,1,1,0,157471.46,1
15600187,Castellano,769,France,Male,45,2,115967.68,1,0,1,82960.91,1
15600188,Marceau,576,Spain,Male,19,7,122821.61,1,1,1,79315.74,0
15600189,Kessler,514,France,Male,36,1,0.0,4,0,0,77668.67,1
15600190,Balogh,533,Germany,Female,50,2,188402.71,1,0,0,81254.03,0
15600191,Odom,586,France,Male,33,5,147375.61,2,1,0,99841.73,0
15600192,Whitfield,645,France,Male,29,4,66916.39,1,1,0,77494.68,0
15600193,Abubakar,494,Germany,Male,47,2,117633.05,2,1,1,97917.07,0
15600194,Novak,610,France,Male,36,0,137871.97,1,1,0,33483.2,0
15600195,Laurent,630,France,Female,34,0,209603.22,1,0,0,124088.93,0
15600196,Winters,681,Spain,Male,52,2,259487.69,2,1,0,133984.16,0
15600197,Petrov,709,Germany,Female,27,3,0.0,1,1,0,200000.0,1
15600198,Laurent,689,France,Female,34,1,0.0,2,1,1,126931.23,0
15600199,Hallgren,822,France,Female,47,5,0.0,2,0,1,89652.1,0
15600200,Marceau,755,Germany,Female,26,9,105756.62,1,1,0,190867.17,1
15600201,Reyes,671,Germany,Female,57,7,0.0,1,1,0,179398.58,0
15600202,Laurent,557,Spain,Male,36,3,0.0,1,1,0,57586.94,1
15600203,Dubois,585,France,Male,47,4,0.0,1,1,1,198791.17,0
15600204,Sorensen,513,France,Female,47,8,126672.1,1,1,1,118447.36,0
15600205,Winters,665,France,Female,37,10,114462.94,2,1,0,18525.85,0
15600206,Reyes,682,France,Male,34,6,130814.93,2,1,1,57516.45,0
15600207,Thibault,736,Spain,Male,38,2,0.0,3,1,1,63612.13,0
15600208,Adeyemi,676,France,Male,46,9,77740.14,1,1,1,184849.53,0
15600209,Hargrove,751,Spain,Male,28,5,27609.31,1,1,1,109733.16,1
15600210,Nakamura,753,Spain,Male,26,0,45629.03,2,0,1,105404.32,0
15600211,Osei,551,Spain,Male,54,2,31464.85,1,1,1,96272.27,0
15600212,Duarte,600,France,Male,31,5,121745.6,2,0,0,200000.0,0
15600213,Renner,649,Germany,Female,42,8,71176.09,1,1,0,87746.01,1
15600214,Marceau,582,Spain,Female,36,9,161005.02,1,1,0,75768.56,1
15600215,Kessler,627,Spain,Female,37,2,124033.13,1,1,1,167990.73,0
15600216,Osei,679,France,Female,53,7,20228.95,1,0,0,109258.06,1
15600217,Castellano,638,France,Male,38,10,0.0,1,0,1,180848.01,0
15600218,Nakamura,650,Germany,Male,35,8,5857.63,2,0,1,75831.76,0
15600219,Novak,560,France,Female,36,7,0.0,1,1,0,109948.31,1
15600220,Dubois,699,France,Female,33,8,87486.57,2,1,0,200000.0,1
15600221,Falk,692,France,Female,32,6,64731.74,2,1,1,71127.5,0
15600222,Osei,577,Spain,Female,33,6,0.0,1,0,1,155744.03,0
15600223,Osei,526,Germany,Female,55,5,149439.78,1,0,1,10732.67,0
15600224,Rousseau,768,France,Female,46,10,95608.87,3,1,1,142149.35,1
15600225,Girard,818,Germany,Female,35,3,0.0,1,0,1,62206.64,1
15600226,Adeyemi,673,France,Female,49,8,63276.64,1,0,1,150627.54,0
15600227,Girard,615,Spain,Male,22,0,95390.94,2,1,1,35067.84,0
15600228,Dubois,750,Spain,Male,53,4,0.0,1,1,0,158380.99,1
15600229,Rousseau,695,France,Male,52,10,56218.72,1,0,1,95679.33,0
15600230,Hargrove,630,France,Male,61,2,146251.74,1,1,1,122847.9,0
15600231,Iyer,743,France,Female,49,8,126639.18,1,0,1,106183.58,1
15600232,Marchetti,572,Germany,Male,43,5,0.0,2,1,0,93145.54,0
15600233,Falk,584,Spain,Male,52,1,0.0,1,1,0,61114.42,0
15600234,Girard,685,Germany,Female,32,1,0.0,1,1,1,43720.01,0
15600235,Nakamura,661,Germany,Male,34,1,118302.02,3,0,1,139121.38,1
15600236,Fairweather,711,France,Female,38,5,0.0,1,1,0,33611.25,0
15600237,Kowalski,765,Germany,Male,52,3,122514.26,2,1,0,89910.65,1
15600238,Adeyemi,501,France,Male,30,9,88002.75,2,1,0,40680.01,0
15600239,Aoki,654,France,Male,29,8,105843.6,1,1,0,79041.06,0
15600240,Weiss,833,Germany,Male,41,1,88328.35,2,1,1,1000.0,0
15600241,Hargrove,593,Germany,Male,46,5,136575.63,2,1,0,166632.42,1
15600242,Nakamura,581,France,Male,31,8,0.0,1,1,0,140127.89,0
15600243,Bergstrom,435,Spain,Male,45,7,0.0,2,1,1,95958.8,0
15600244,Okonkwo,660,Spain,Male,52,0,59921.32,1,1,0,109341.74,0
15600245,Renner,706,Germany,Female,51,0,22063.17,1,1,1,166570.16,0
15600246,Marceau,706,Spain,Male,42,6,0.0,2,0,1,67987.37,0
15600247,Weiss,550,France,Male,38,10,135194.64,2,0,0,174287.52,1
15600248,Reyes,649,France,Male,56,0,0.0,2,1,1,58308.37,0
15600249,Delacroix,671,France,Female,39,1,118829.53,2,0,0,96714.18,0
15600250,Novak,655,Spain,Female,48,2,93850.99,2,1,1,18995.11,0
15600251,Schmitt,545,Germany,Female,58,3,0.0,2,0,0,178057.26,0
15600252,Castellano,657,France,Female,47,9,139864.82,1,1,1,82560.66,0
15600253,Hallgren,572,France,Male,28,10,79433.72,1,1,1,118502.98,0
15600254,Fairweather,470,France,Female,26,3,130731.12,2,1,0,54783.27,1
15600255,Nakamura,715,Spain,Male,35,8,38990.67,4,0,1,87154.48,1
15600256,Renner,663,Germany,Female,46,0,0.0,1,1,0,41082.55,0
15600257,Okafor,707,France,Male,43,5,143192.99,1,1,0,50185.23,1
15600258,Delacroix,599,France,Male,61,6,129588.63,3,1,1,5060.96,1
15600259,Marceau,710,Spain,Female,43,9,156627.05,1,0,0,83616.84,0
15600260,Fairweather,748,France,Female,35,9,144274.7,2,0,0,57687.79,0
15600261,Thibault,818,Germany,Female,27,0,126960.82,1,1,0,200000.0,1
15600262,Novak,728,France,Male,51,4,154300.56,2,1,1,33456.8,0
15600263,Fontaine,687,France,Male,38,0,93312.11,1,0,0,57897.8,0
15600264,Lindqvist,518,Germany,Male,23,0,138063.92,2,1,1,141406.28,0
15600265,Voss,640,France,Male,39,1,0.0,1,1,0,40335.93,1
15600266,Schmitt,513,France,Male,28,10,204530.74,1,0,0,89040.87,1
15600267,Laurent,571,France,Male,34,2,0.0,2,1,0,138041.85,0
15600268,Aoki,838,France,Female,39,8,0.0,3,0,0,133694.6,1
15600269,Fontaine,552,France,Male,29,7,124651.67,2,1,1,98806.23,0
15600270,Whitfield,425,France,Female,34,9,64439.11,1,0,1,90641.4,0
15600271,Sorensen,728,France,Female,31,5,148424.47,1,1,0,151409.66,0
15600272,Duarte,585,France,Female,31,10,149324.79,1,1,1,165849.64,0
15600273,Okonkwo,724,Spain,Male,28,4,0.0,3,0,1,99624.91,1
15600274,Odom,538,Spain,Male,34,8,60108.35,1,1,1,125321.29,0
15600275,Rousseau,609,France,Male,29,8,118638.26,2,1,1,65723.6,0
15600276,Aoki,765,France,Female,44,5,0.0,2,1,0,161376.89,1
15600277,Marchetti,523,Spain,Male,41,3,70077.4,2,1,0,139979.29,0
15600278,Fontaine,634,Germany,Male,51,1,0.0,2,1,0,76964.86,0
15600279,Balogh,678,Germany,Female,58,0,143215.55,1,1,1,65274.62,0
15600280,Adeyemi,581,France,Female,45,5,37803.16,1,1,0,199286.19,1
15600281,Osei,673,France,Female,43,4,74275.8,1,1,0,66401.99,0
15600282,Adeyemi,652,France,Male,46,2,231936.87,1,1,1,83365.22,0
15600283,Schmitt,701,France,Female,43,8,209690.2,1,1,0,23592.31,1
15600284,Thibault,827,Spain,Male,39,1,172489.94,2,0,1,154447.93,0
15600285,Adeyemi,850,France,Male,38,5,114189.52,1,1,0,65882.66,0
15600286,Duarte,694,France,Female,28,4,149599.72,1,0,0,96862.3,1
15600287,Renner,639,France,Female,47,10,0.0,1,0,1,91805.1,0
15600288,Voss,692,Spain,Male,38,1,3000.0,1,1,1,200000.0,1
15600289,Lindqvist,628,France,Male,53,9,83489.36,1,1,0,198905.37,0
15600290,Hargrove,498,Germany,Male,48,7,88301.0,2,1,1,114839.25,0
15600291,Kessler,646,France,Female,32,8,113411.41,2,1,0,59116.47,0
15600292,Odom,754,Germany,Female,51,8,0.0,2,0,1,103925.76,0
15600293,Girard,509,France,Male,18,8,0.0,2,1,0,92781.55,0
15600294,Balogh,555,Germany,Male,58,4,0.0,1,1,1,188208.75,0
15600295,Schmitt,594,Germany,Female,25,6,61823.94,2,1,1,200000.0,0
15600296,Delacroix,686,Germany,Female,44,4,102203.62,2,1,1,115926.99,1
15600297,Laurent,850,Germany,Male,43,9,0.0,2,1,0,143056.27,0
15600298,Whitfield,572,Germany,Female,50,2,0.0,1,1,0,200000.0,1
15600299,Adeyemi,659,Spain,Female,35,6,0.0,1,1,0,127538.08,0
15600300,Renner,651,Germany,Male,18,2,138228.67,1,1,1,51104.68,0
15600301,Petrov,621,France,Female,35,4,54860.11,1,1,0,91263.12,1
15600302,Nakamura,645,Spain,Female,36,10,0.0,2,1,1,97439.62,0
15600303,Dubois,605,Spain,Female,18,2,132804.62,1,1,1,56169.34,0
15600304,Mendez,850,Germany,Female,39,9,0.0,2,1,0,100569.21,1
15600305,Hallgren,722,France,Female,28,8,94372.49,4,0,1,10505.75,0
15600306,Delacroix,606,France,Male,45,4,112795.3,1,0,1,1000.0,0
15600307,Falk,764,Spain,Male,36,4,0.0,4,0,0,94681.95,1
15600308,Voss,675,France,Female,59,0,63616.05,1,1,0,85502.88,1
15600309,Adeyemi,656,France,Male,36,8,128444.05,1,1,1,200000.0,0
15600310,Duarte,633,France,Male,43,7,0.0,2,1,0,71205.58,0
15600311,Iyer,626,France,Male,36,10,0.0,1,1,0,116309.49,0
15600312,Marchetti,533,France,Female,22,3,0.0,1,1,1,74801.89,0
15600313,Falk,489,France,Female,36,4,0.0,1,0,0,1000.0,1
15600314,Renner,686,France,Female,46,7,0.0,2,1,1,96231.32,0
15600315,Petrov,632,France,Female,45,3,94256.33,1,1,0,112121.27,1
15600316,Winters,734,France,Male,36,3,0.0,2,1,0,67882.27,1
15600317,Iyer,565,Spain,Male,24,1,148483.03,2,1,1,87990.53,0
15600318,Girard,545,France,Female,45,10,40870.13,3,1,0,153847.64,1
15600319,Fontaine,725,Germany,Male,43,5,48510.67,2,1,0,83958.04,0
15600320,Novak,622,Germany,Female,47,8,142349.11,1,0,1,172973.82,1
15600321,Bergstrom,732,France,Male,36,7,101960.9,2,1,0,112197.64,0
15600322,Nakamura,653,France,Male,21,6,76655.42,2,1,1,160632.99,0
15600323,Fairweather,830,Spain,Female,44,3,0.0,1,1,1,190949.22,0
15600324,Delacroix,723,Germany,Male,38,3,72225.25,4,1,1,48046.46,1
15600325,Winters,689,Spain,Male,53,5,0.0,2,1,0,161762.41,0
15600326,Thibault,727,Germany,Male,39,1,0.0,3,1,0,175973.66,1
15600327,Odom,624,Spain,Male,38,5,0.0,1,1,0,161690.63,0
15600328,Delacroix,492,Spain,Male,43,0,96367.56,1,1,1,84661.99,0
15600329,Marceau,685,France,Female,32,3,0.0,3,1,0,1000.0,0
15600330,Dubois,836,Spain,Male,32,6,63209.74,1,1,0,200000.0,0
15600331,Okonkwo,430,France,Female,38,0,84063.79,2,1,1,9695.69,0
15600332,Abubakar,695,Spain,Female,29,0,97094.1,1,1,1,200000.0,0
15600333,Rousseau,503,Germany,Male,36,2,67930.87,1,1,1,32985.92,0
15600334,Renner,648,France,Male,58,8,166820.24,2,1,0,27801.03,1
15600335,Kessler,658,Spain,Female,49,8,0.0,3,1,1,104601.38,0
15600336,Thibault,722,France,Female,42,0,106178.21,1,0,0,96188.2,1
15600337,Fairweather,670,Spain,Female,54,3,0.0,2,0,0,200000.0,0
15600338,Duarte,782,France,Male,30,0,0.0,1,1,1,62447.28,0
15600339,Fontaine,762,Germany,Female,64,0,107685.08,1,1,0,152791.09,1
15600340,Kowalski,631,France,Female,34,10,0.0,2,0,1,129404.86,0
15600341,Adeyemi,755,Germany,Female,59,4,93865.33,2,1,1,49130.29,0
15600342,Laurent,620,Germany,Male,59,8,100960.66,2,0,1,132292.07,0
15600343,Adeyemi,603,Spain,Female,21,7,158848.37,1,1,0,95748.55,0
15600344,Nakamura,534,Germany,Male,53,4,0.0,1,1,0,168161.36,0
15600345,Laurent,776,Germany,Female,36,8,0.0,2,1,1,87902.52,1
15600346,Aoki,621,Germany,Male,33,2,0.0,1,0,0,185740.39,1
15600347,Bergstrom,418,France,Female,44,4,154370.93,2,0,1,121839.22,0
15600348,Schmitt,702,Spain,Male,28,4,73961.12,1,1,0,30931.16,0
15600349,Renner,608,France,Female,44,6,111095.12,2,1,0,1000.0,0
15600350,Marchetti,621,Spain,Male,29,2,0.0,1,0,1,200000.0,0
15600351,Whitfield,628,France,Male,40,8,60424.0,2,0,0,97164.95,0
15600352,Marchetti,618,Spain,Female,52,9,0.0,1,1,0,96762.77,1
15600353,Falk,850,Spain,Female,42,9,0.0,1,1,1,114875.72,0
15600354,Marceau,810,France,Male,35,9,130736.58,1,1,1,98146.35,0
